"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 2, 0, 1, 3
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\app\injector.dart", "Dart", 0, 7, 0, 0, 0, 7
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\config\router\app_routes.dart", "Dart", 0, 9, 0, -3, 2, 8
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\app_strings.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\utils\utils.dart", "Dart", 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\app_custom_animation_widget.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\main.dart", "Dart", 0, -8, 0, 5, -1, -4
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\presentation\widgets\login\login_auth_button_widget.dart", "Dart", 0, 3, 0, 0, 0, 3
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\datasources\home_local_data_source.dart", "Dart", 0, 46, 0, 0, 15, 61
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\models\categories_model.dart", "Dart", 0, 3, 0, 1, 0, 4
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\data\repositories\home_repository_implementation.dart", "Dart", 0, 11, 0, 1, 1, 13
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_bloc.dart", "Dart", 0, 23, 0, 1, 4, 28
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_event.dart", "Dart", 0, 6, 0, 0, 2, 8
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\bloc\home_state.dart", "Dart", 0, 21, 0, 2, 2, 25
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\banners_with_category_widget.dart", "Dart", 0, 46, 0, 0, 4, 50
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_banner_widget.dart", "Dart", 0, 11, 0, 0, -1, 10
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_loaded_body_widget.dart", "Dart", 0, -6, 0, 0, 0, -6
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_products_widget.dart", "Dart", 0, 16, 0, 0, 0, 16
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\home\presentation\widgets\home_search_widget.dart", "Dart", 0, 15, 0, 1, 6, 22
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\presentation\screens\profile_info_screen.dart", "Dart", 0, 147, 0, 0, 12, 159
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\presentation\screens\profile_screen.dart", "Dart", 0, 49, 0, -1, -7, 41
"d:\Programming\Projects\Flutter Projects\Work\kw_store\pubspec.yaml", "YAML", 4, 0, 0, 1, -1, 4
"d:\Programming\Projects\Flutter Projects\Work\kw_store\test\modules\home\data\repositories\home_repository_implementation_test.dart", "Dart", 0, 1, 0, 0, 0, 1
"Total", "-", 4, 422, 2, 8, 43, 479
