"filename", "language", "YAML", "JSON", "XML", "Markdown", "HTML", "C++", "Dart", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Programming\Projects\Flutter Projects\Work\kw_store\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 5, 13, 72
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 2, 39
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programming\Projects\Flutter Projects\Work\kw_store\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\lottie\empty_box.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_1.svg", "XML", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_2.svg", "XML", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 1, 104
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_3.svg", "XML", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_4.svg", "XML", 0, 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 1, 425
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_5.svg", "XML", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 1, 116
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\error\error_6.svg", "XML", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"d:\Programming\Projects\Flutter Projects\Work\kw_store\assets\svg\logo.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"d:\Programming\Projects\Flutter Projects\Work\kw_store\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\app\app.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 5, 27
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\app\bloc_observer.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\app\injector.dart", "Dart", 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 7, 15, 247
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\config\router\app_routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 2, 10, 162
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\config\themes\dark_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 14, 6, 148
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\config\themes\light_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 11, 12, 159
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\api_consumer.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\app_interceptor.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\dio_consumer.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 11, 99
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\end_point.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\status_code.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\i_app_local_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\i_local_data_base.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\local_data_base_with_flutter_secure_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\local_data_base_with_shared_pref.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\secure_local_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 9, 37
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\database\shared_preference.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 9, 49
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\error\exceptions.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 15, 58
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\error\failure.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\mapper\profile_mapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 25
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\network\network.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\usecase\params\params.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 13, 81
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\usecase\usecase.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
