"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\config\router\app_routes.dart", "Dart", 4, 0, 0, 4
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\api\end_point.dart", "Dart", 1, 0, 0, 1
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\data\datasources\profile_remote_data_source.dart", "Dart", 9, 0, 2, 11
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\data\repositories\profile_repository_implementation.dart", "Dart", 4, 0, 1, 5
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\domain\repositories\profile_repository.dart", "Dart", 1, 1, 1, 3
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\domain\usecases\update_profile_use_case.dart", "Dart", 13, 0, 5, 18
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\presentation\screens\profile_info_screen.dart", "Dart", 59, 0, 0, 59
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\profile\presentation\screens\profile_screen.dart", "Dart", 3, 0, 0, 3
"d:\Programming\Projects\Flutter Projects\Work\kw_store\test\modules\home\data\repositories\home_repository_implementation_test.dart", "Dart", 2, 0, 0, 2
"d:\Programming\Projects\Flutter Projects\Work\kw_store\test\modules\profile\data\datasources\profile_remote_data_source_test.dart", "Dart", 60, 3, 9, 72
"d:\Programming\Projects\Flutter Projects\Work\kw_store\test\modules\profile\data\datasources\profile_remote_data_source_test.mocks.dart", "Dart", 95, 17, 7, 119
"Total", "-", 251, 21, 25, 297
