Date : 2023-04-24 19:02:04
Directory : d:\Programming\Projects\Flutter Projects\Work\Active\kw_store
Total : 60 files,  2431 codes, 19 comments, 263 blanks, all 2713 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         55 |      2,379 |         20 |        248 |      2,647 |
| XML      |          4 |         35 |          1 |         12 |         48 |
| YAML     |          1 |         17 |         -2 |          3 |         18 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                           |         60 |      2,431 |         19 |        263 |      2,713 |
| . (Files)                                                                                                                                                   |          1 |         17 |         -2 |          3 |         18 |
| android                                                                                                                                                     |          1 |          5 |          0 |          2 |          7 |
| android\app                                                                                                                                                 |          1 |          5 |          0 |          2 |          7 |
| android\app\src                                                                                                                                             |          1 |          5 |          0 |          2 |          7 |
| android\app\src\main                                                                                                                                        |          1 |          5 |          0 |          2 |          7 |
| assets                                                                                                                                                      |          3 |         30 |          1 |         10 |         41 |
| assets\svg                                                                                                                                                  |          3 |         30 |          1 |         10 |         41 |
| lib                                                                                                                                                         |         55 |      2,379 |         20 |        248 |      2,647 |
| lib (Files)                                                                                                                                                 |          1 |          0 |         -7 |          2 |         -5 |
| lib\app                                                                                                                                                     |          2 |         33 |         -1 |          0 |         32 |
| lib\config                                                                                                                                                  |          1 |         41 |          0 |          2 |         43 |
| lib\config\router                                                                                                                                           |          1 |         41 |          0 |          2 |         43 |
| lib\core                                                                                                                                                    |         12 |        109 |         -9 |         13 |        113 |
| lib\core\database                                                                                                                                           |          5 |        -26 |        -12 |         -9 |        -47 |
| lib\core\usecase                                                                                                                                            |          1 |         11 |          0 |          3 |         14 |
| lib\core\usecase\params                                                                                                                                     |          1 |         11 |          0 |          3 |         14 |
| lib\core\utils                                                                                                                                              |          6 |        124 |          3 |         19 |        146 |
| lib\modules                                                                                                                                                 |         39 |      2,196 |         37 |        231 |      2,464 |
| lib\modules\auth                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| lib\modules\auth\data                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| lib\modules\auth\data\datasources                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| lib\modules\payment                                                                                                                                         |         19 |      1,149 |         12 |         99 |      1,260 |
| lib\modules\payment\presentation                                                                                                                            |         19 |      1,149 |         12 |         99 |      1,260 |
| lib\modules\payment\presentation\bloc                                                                                                                       |          3 |        125 |          2 |         27 |        154 |
| lib\modules\payment\presentation\screens                                                                                                                    |          3 |        543 |          8 |         20 |        571 |
| lib\modules\payment\presentation\widgets                                                                                                                    |         13 |        481 |          2 |         52 |        535 |
| lib\modules\payment\presentation\widgets\credit card                                                                                                        |          6 |        201 |          1 |         24 |        226 |
| lib\modules\payment\presentation\widgets\payment method                                                                                                     |          7 |        280 |          1 |         28 |        309 |
| lib\modules\profile                                                                                                                                         |         17 |      1,040 |         25 |        133 |      1,198 |
| lib\modules\profile\data                                                                                                                                    |          3 |         81 |          0 |         14 |         95 |
| lib\modules\profile\data\datasources                                                                                                                        |          2 |         32 |          0 |         10 |         42 |
| lib\modules\profile\data\repositories                                                                                                                       |          1 |         49 |          0 |          4 |         53 |
| lib\modules\profile\domain                                                                                                                                  |          6 |         89 |          5 |         28 |        122 |
| lib\modules\profile\domain\entities                                                                                                                         |          1 |         31 |          1 |          4 |         36 |
| lib\modules\profile\domain\repositories                                                                                                                     |          1 |          5 |          4 |          4 |         13 |
| lib\modules\profile\domain\usecases                                                                                                                         |          4 |         53 |          0 |         20 |         73 |
| lib\modules\profile\presentation                                                                                                                            |          8 |        870 |         20 |         91 |        981 |
| lib\modules\profile\presentation\bloc                                                                                                                       |          3 |        492 |         18 |         71 |        581 |
| lib\modules\profile\presentation\screens                                                                                                                    |          2 |        101 |          2 |          0 |        103 |
| lib\modules\profile\presentation\widgets                                                                                                                    |          3 |        277 |          0 |         20 |        297 |
| lib\modules\profile\presentation\widgets\add new address                                                                                                    |          3 |        277 |          0 |         20 |        297 |
| lib\modules\splash                                                                                                                                          |          2 |          6 |          0 |         -1 |          5 |
| lib\modules\splash\data                                                                                                                                     |          1 |         -2 |          0 |         -1 |         -3 |
| lib\modules\splash\data\datasources                                                                                                                         |          1 |         -2 |          0 |         -1 |         -3 |
| lib\modules\splash\presentation                                                                                                                             |          1 |          8 |          0 |          0 |          8 |
| lib\modules\splash\presentation\bloc                                                                                                                        |          1 |          8 |          0 |          0 |          8 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\android\app\src\main\AndroidManifest.xml                                                      | XML      |          5 |          0 |          2 |          7 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\assets\svg\mastercard.svg                                                                     | XML      |          2 |          0 |          0 |          2 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\assets\svg\paypal.svg                                                                         | XML      |         26 |          1 |         10 |         37 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\assets\svg\visa.svg                                                                           | XML      |          2 |          0 |          0 |          2 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\app\app.dart                                                                              | Dart     |          1 |          0 |         -1 |          0 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\app\injector.dart                                                                         | Dart     |         32 |         -1 |          1 |         32 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\config\router\app_routes.dart                                                             | Dart     |         41 |          0 |          2 |         43 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\database\local_data_base_with_flutter_secure_storage.dart                            | Dart     |        -22 |          0 |         -7 |        -29 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\database\local_data_base_with_hive.dart                                              | Dart     |         30 |          0 |          7 |         37 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\database\local_data_base_with_shared_pref.dart                                       | Dart     |        -34 |          0 |         -7 |        -41 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\database\secure_local_storage.dart                                                   | Dart     |          0 |         -6 |         -1 |         -7 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\database\shared_preference.dart                                                      | Dart     |          0 |         -6 |         -1 |         -7 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\usecase\params\params.dart                                                           | Dart     |         11 |          0 |          3 |         14 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\app_assets.dart                                                                | Dart     |          3 |          0 |          0 |          3 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\app_strings.dart                                                               | Dart     |         20 |          3 |         10 |         33 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\constant.dart                                                                  | Dart     |          3 |          0 |          2 |          5 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\enums.dart                                                                     | Dart     |          8 |          0 |          1 |          9 |
